Date,Service description,Service ID,List cost ($),Negotiated savings ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2026-05-26,Artifact Registry,149C-F9EC-3994,2.03,0.00,0.00,0.00,2.032636,2.03
2026-05-26,Cloud Storage,95FF-2EF5-5EA1,1.74,0.00,0.00,0.00,1.737434,1.74
2026-05-26,App Engine,F17B-412E-CB64,1.46,0.00,0.00,0.00,1.462135,1.46
2026-05-26,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.183701,0.18
2026-05-26,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,0.00,0.140298,0.14
2026-05-26,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-25,Gemini API,AEFD-7695-64FA,92.62,0.00,0.00,0.00,92.624877,92.62
2026-05-25,Cloud Run,152E-C115-5142,6.59,0.00,0.00,0.00,6.590285,6.59
2026-05-25,Cloud Build,8B5D-EF7D-EB12,2.42,0.00,0.00,0.00,2.415475,2.42
2026-05-25,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351988,2.35
2026-05-25,Artifact Registry,149C-F9EC-3994,1.91,0.00,0.00,0.00,1.911995,1.91
2026-05-25,Cloud Storage,95FF-2EF5-5EA1,1.83,0.00,0.00,0.00,1.829670,1.83
2026-05-25,App Engine,F17B-412E-CB64,1.43,0.00,0.00,0.00,1.432565,1.43
2026-05-25,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.181276,0.18
2026-05-25,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,0.00,0.140302,0.14
2026-05-25,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-24,Gemini API,AEFD-7695-64FA,167.78,0.00,0.00,0.00,167.777290,167.78
2026-05-24,Cloud Run,152E-C115-5142,6.78,0.00,0.00,0.00,6.784381,6.78
2026-05-24,Cloud Build,8B5D-EF7D-EB12,3.04,0.00,0.00,0.00,3.037093,3.04
2026-05-24,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351987,2.35
2026-05-24,Artifact Registry,149C-F9EC-3994,2.08,0.00,0.00,0.00,2.084233,2.08
2026-05-24,Cloud Storage,95FF-2EF5-5EA1,2.07,0.00,0.00,0.00,2.071097,2.07
2026-05-24,App Engine,F17B-412E-CB64,1.50,0.00,0.00,0.00,1.503389,1.50
2026-05-24,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.182377,0.18
2026-05-24,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,0.00,0.140304,0.14
2026-05-24,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-23,Gemini API,AEFD-7695-64FA,319.46,0.00,0.00,0.00,319.456658,319.46
2026-05-23,Artifact Registry,149C-F9EC-3994,7.41,0.00,0.00,0.00,7.413795,7.41
2026-05-23,Cloud Run,152E-C115-5142,6.84,0.00,0.00,0.00,6.840245,6.84
2026-05-23,Cloud Build,8B5D-EF7D-EB12,3.11,0.00,0.00,0.00,3.106550,3.11
2026-05-23,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351987,2.35
2026-05-23,App Engine,F17B-412E-CB64,2.29,0.00,0.00,0.00,2.290682,2.29
2026-05-23,Cloud Storage,95FF-2EF5-5EA1,2.08,0.00,0.00,0.00,2.081852,2.08
2026-05-23,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.183457,0.18
2026-05-23,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,0.00,0.140300,0.14
2026-05-23,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-22,Gemini API,AEFD-7695-64FA,91.81,0.00,0.00,0.00,91.812542,91.81
2026-05-22,Artifact Registry,149C-F9EC-3994,7.50,0.00,0.00,0.00,7.504331,7.50
2026-05-22,Cloud Run,152E-C115-5142,6.63,0.00,0.00,0.00,6.626824,6.63
2026-05-22,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351994,2.35
2026-05-22,Cloud Build,8B5D-EF7D-EB12,2.28,0.00,0.00,0.00,2.278177,2.28
2026-05-22,App Engine,F17B-412E-CB64,1.82,0.00,0.00,0.00,1.816220,1.82
2026-05-22,Cloud Storage,95FF-2EF5-5EA1,1.68,0.00,0.00,0.00,1.681253,1.68
2026-05-22,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.181622,0.18
2026-05-22,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,0.00,0.140309,0.14
2026-05-22,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
2026-05-21,Gemini API,AEFD-7695-64FA,81.16,0.00,0.00,0.00,81.160502,81.16
2026-05-21,Artifact Registry,149C-F9EC-3994,7.36,0.00,0.00,0.00,7.364243,7.36
2026-05-21,Cloud Run,152E-C115-5142,6.71,0.00,0.00,0.00,6.705128,6.71
2026-05-21,Cloud Memorystore for Redis,5AF5-2C11-D467,2.35,0.00,0.00,0.00,2.351994,2.35
2026-05-21,Cloud Build,8B5D-EF7D-EB12,1.79,0.00,0.00,0.00,1.790443,1.79
2026-05-21,Cloud Storage,95FF-2EF5-5EA1,1.56,0.00,0.00,0.00,1.556975,1.56
2026-05-21,App Engine,F17B-412E-CB64,1.34,0.00,0.00,0.00,1.337174,1.34
2026-05-21,Secret Manager,EE82-7A5E-871C,0.18,0.00,0.00,0.00,0.179924,0.18
2026-05-21,Compute Engine,6F81-5844-456A,0.14,0.00,0.00,0.00,0.140303,0.14
2026-05-21,Networking,E505-1604-58F8,0.14,0.00,0.00,-0.14,0.000000,0.00
